ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wp_page_template,Meta: shopengine_product_views_count,Meta: ekit_post_views_count,Meta: _last_editor_used_jetpack,Meta: video_product,Meta: view_product,Meta: bwp_ids,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_primary_product_brand
30661,simple,3880d3b45281,Aigner - Ladies Watch - 27mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,,275,"In Stock Available Immediately, Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_d00da5810af643d59a765bad9c1ba0f0mv2.jpg,,,,,,,,,0,default,4,14,,,,,,,
30663,simple,2c3c24b23129,Cerruti - Ladies Watch - 32mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,110,130,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_0c478aee4c4a457aac66c1c48963b4d1mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_f3f4527a535641008691004890415d15mv2.png",,,,,,,,,0,default,1,6,,,,,,,
30666,simple,11b6ffec2ce2,Cerruti - Ladies Watch - 30mm - Full Set,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,195,250,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_c2836c9c7b2e401dad1207c350f8693amv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_4c2e1275187b43eaa9d59bcd7d6bb36dmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_2e9d0be440564911baff57744e9330cfmv2-scaled.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_766b5480733146adb3e5213e506bb662mv2-scaled.jpg",,,,,,,,,0,default,,3,,,,,,,
30671,simple,04608d1676e0,Charriol - Ladies Watch - 28mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,515,1040,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_96a0ba4e4eb9463183473d64b6cdd75bmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_4122ad2c0ba64e5badb8e990df3dae34mv2.jpg",,,,,,,,,0,default,,1,,,,,,,
30674,simple,a2b0305ae062,Charriol - Ladies Watch - 28mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,840,1940,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_71cc8092d05d4937abe61c765caab859mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_2883710dfb78468192983edf90c41b0dmv2.jpg",,,,,,,,,0,default,,,,,,,,,
30677,simple,388be567698d,Citizen - Ladies Watch - 29mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,155,190,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_ec06155c76f8455792a1147faf8c810bmv2.jpg,,,,,,,,,0,default,1,1,,,,,,,
30679,simple,edb442ba3215,Aigner - Ladies Watch - 27mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,,275,"In Stock Available Immediately, Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_5b2ca377d6a14073a0409369a7a407b8mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_9a6b5b4c212f434ca318e27765948dc4mv2.jpg",,,,,,,,,0,default,2,9,,,,,,,
30682,simple,a8d7587b01fb,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,345,480,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_bf2eb82cb0374036ae3b7bb1a387c51bmv2.jpg,,,,,,,,,0,default,1,1,,,,,,,
30684,simple,76a18c58ac4f,Rado - Ladies Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,345,480,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_c428cb3fdbba4e9392b18565cf7ca6c5mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30686,simple,cb663c2491fe,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,345,480,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_dfd4720486d341839f775864857ec239mv2.jpg,,,,,,,,,0,default,,,,,,,,,
